City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,gramoteino,54.5368,86.3839,14.1,93,100,2.75,RU,1722896072
273,kone,-21.0595,164.8658,20.99,54,5,1.48,NC,1722896073
274,smithers,54.7804,-127.1743,24.18,31,40,1.54,CA,1722896074
275,pisco,-13.7,-76.2167,19.03,72,0,2.57,PE,1722896075
276,korla,41.7597,86.1469,28.54,34,90,2.05,CN,1722896076
277,constantia,44.1833,28.65,20.39,63,45,5.06,RO,1722895843
278,sarkand,45.41,79.9186,22.7,29,69,3.19,KZ,1722896079
279,iguape,-24.7081,-47.5553,18.65,95,14,3.31,BR,1722895835
280,kirakira,-10.4544,161.9205,26.26,85,100,4.68,SB,1722896081
281,mejit,10.2753,170.8646,28.31,80,100,6.14,MH,1722896082
282,yaren,-0.5472,166.916,28.66,70,14,4.38,NR,1722896084
283,mitu,1.1983,-70.1733,24.69,96,100,0.66,CO,1722895833
284,el calafate,-50.3408,-72.2768,-0.63,89,90,1.23,AR,1722896086
285,agudos,-22.4692,-48.9875,29.14,33,0,0.0,BR,1722896087
286,kosh-agach,50.0,88.6667,10.09,73,68,0.5,RU,1722896088
287,qaqortoq,60.7167,-46.0333,8.58,78,100,1.46,GL,1722896089
288,corning,42.1428,-77.0547,26.23,78,0,0.0,US,1722895801
289,labrador city,52.9463,-66.9114,11.95,71,100,4.63,CA,1722896091
290,mossel bay,-34.1831,22.146,7.96,62,0,2.81,ZA,1722896093
291,fonte boa,-2.4959,-66.2662,28.47,70,100,0.73,BR,1722896094
292,egilsstadir,65.2653,-14.3948,8.95,93,40,2.57,IS,1722896095
293,vilyuysk,63.7553,121.6247,14.82,69,35,2.24,RU,1722896096
294,namtsy,62.7161,129.6658,12.69,87,100,3.7,RU,1722896097
295,soria,41.6667,-2.6667,22.28,54,22,2.52,ES,1722896098
296,ellsworth,44.5434,-68.4195,25.3,62,0,2.57,US,1722895947
297,riberalta,-10.9833,-66.1,33.11,55,20,4.63,BO,1722896100
298,chipinge,-20.1883,32.6236,14.09,53,0,3.38,ZW,1722896101
299,barra de santo antonio,-9.4047,-35.5072,22.6,76,20,5.52,BR,1722896102
300,callaway,30.153,-85.5699,33.28,63,100,4.92,US,1722896103
301,impfondo,1.6381,18.0667,23.96,71,95,1.04,CG,1722896104
302,kuyucak,37.9133,28.4592,26.04,45,2,2.5,TR,1722896105
303,kindu,-2.95,25.95,23.63,42,86,0.44,CD,1722896106
304,zapata,26.9073,-99.2714,37.06,34,75,4.12,US,1722896108
305,kresttsy,58.2452,32.5165,15.04,83,76,1.53,RU,1722896109
306,borsa,47.6553,24.6633,14.44,99,100,1.69,RO,1722896110
307,gusau,12.1628,6.6614,24.23,85,100,3.5,NG,1722896111
308,kuta,-8.7233,115.1723,25.97,83,20,5.66,ID,1722896112
309,uzgen,40.7699,73.3007,23.16,34,13,2.74,KG,1722896113
310,sasovo,54.3537,41.9199,19.74,59,100,2.48,RU,1722896114
311,lebu,-37.6167,-73.65,8.29,84,46,3.97,CL,1722895886
312,belgrade,44.804,20.4651,23.81,60,0,4.63,RS,1722895265
313,gandajika,-6.75,23.95,24.95,23,35,1.39,CD,1722896117
314,broome,42.2506,-75.833,23.53,87,100,2.57,US,1722896118
315,umm kaddadah,13.6017,26.6876,29.16,52,94,3.44,SD,1722896119
316,sancti spiritus,21.9297,-79.4425,29.91,78,98,3.0,CU,1722896120
317,la passe,45.5549,-0.8967,22.13,90,0,4.03,FR,1722896121
318,mantua,45.1667,10.7833,26.72,81,36,0.89,IT,1722896122
319,balikpapan,-1.2675,116.8289,23.56,95,98,1.81,ID,1722896123
320,pampierstad,-27.7832,24.6877,5.09,51,0,1.89,ZA,1722896125
321,puerto aysen,-45.4,-72.7,2.42,99,100,1.57,CL,1722896126
322,revelstoke,50.9832,-118.2023,27.01,50,75,4.12,CA,1722896127
323,monterey,36.2505,-121.2516,36.77,13,21,5.07,US,1722896129
324,udachny,66.4167,112.4,9.31,84,98,8.48,RU,1722896130
325,kargasok,59.0556,80.8572,14.76,95,49,2.7,RU,1722896131
326,khodzha-maston,38.7446,68.627,19.68,29,1,3.52,TJ,1722896132
327,mili,6.0815,171.735,27.8,78,52,4.27,MH,1722896115
328,greymouth,-42.4667,171.2,8.4,83,10,1.58,NZ,1722896107
329,khash,28.2211,61.2158,26.67,46,36,1.97,IR,1722896136
330,san antonio de pale,-1.4014,5.6325,22.19,74,100,4.55,GQ,1722896137
331,piranshahr,36.701,45.1413,21.2,32,0,0.9,IR,1722896138
332,ubinskoye,55.3068,79.6802,13.56,92,13,3.11,RU,1722896139
333,saint-pierre,-21.3393,55.4781,18.82,55,0,2.57,RE,1722896140
334,polyany,54.7122,39.8231,18.49,69,100,2.16,RU,1722896141
335,wailua homesteads,22.0669,-159.378,28.44,70,20,5.14,US,1722896142
336,dean funes,-30.4204,-64.3498,15.32,54,0,3.06,AR,1722896143
337,keflavik,64.0049,-22.5624,10.95,100,75,3.6,IS,1722896134
338,as sulayyil,20.4607,45.5779,36.14,16,100,1.66,SA,1722896145
339,valenca,-13.3703,-39.0731,19.58,87,0,1.37,BR,1722896146
340,rosenfeld,48.2864,8.7236,18.18,82,12,0.91,DE,1722896147
341,tarazona de la mancha,39.2123,-1.9491,27.27,37,21,4.47,ES,1722896148
342,new norfolk,-42.7826,147.0587,11.07,90,100,2.42,AU,1722896149
343,happy valley-goose bay,53.3168,-60.3315,24.17,35,20,5.14,CA,1722896150
344,gebeit,21.0667,36.3167,26.42,61,95,2.57,SD,1722896152
345,noumea,-22.2763,166.4572,21.11,99,60,5.1,NC,1722896153
346,curaca,-8.9903,-39.9094,26.65,46,26,10.81,BR,1722896154
347,yanbu,24.0891,38.0637,34.02,62,40,3.09,SA,1722896157
348,humaita,-7.5061,-63.0208,31.93,29,5,1.18,BR,1722896159
349,kyzylorda,44.8528,65.5092,22.01,53,0,3.0,KZ,1722896160
350,kodinar,20.7903,70.7031,27.27,85,100,7.74,IN,1722896162
351,tsiombe,-25.3,45.4833,17.72,94,4,0.89,MG,1722895942
352,verkhniy baskunchak,48.2256,46.7217,23.58,66,88,1.96,RU,1722896164
353,salaqi,40.5414,110.5108,20.29,63,69,3.11,CN,1722896166
354,fayzabad,37.1166,70.58,21.45,34,0,0.58,AF,1722896167
355,anadyr,64.75,177.4833,5.28,80,75,6.0,RU,1722896168
356,dila,6.4167,38.3167,17.12,99,100,0.49,ET,1722896169
357,viqueque,-8.8673,126.3658,22.34,90,100,1.87,TL,1722896170
358,biltine,14.5333,20.9167,23.82,89,99,3.3,TD,1722896171
359,cooma,-36.2333,149.1333,3.8,88,4,0.3,AU,1722896172
360,tsuma,32.1,131.4,28.97,82,2,0.47,JP,1722896173
361,portel,-1.9356,-50.8211,28.63,50,0,1.51,BR,1722896174
362,nogliki,51.8333,143.1667,15.32,84,94,3.03,RU,1722896175
363,xilin hot,43.9667,116.0333,18.3,51,0,2.28,CN,1722896176
364,ocean city,39.2776,-74.5746,30.1,71,3,5.74,US,1722896008
365,kralendijk,12.15,-68.2667,29.99,74,20,6.17,BQ,1722896178
366,ain arnat,36.1868,5.3135,22.89,31,0,2.06,DZ,1722896179
367,faya-largeau,17.9257,19.1043,29.95,59,100,6.09,TD,1722896180
368,mpongwe,-13.5091,28.155,15.25,25,1,1.8,ZM,1722896181
369,island harbour,50.724,-1.2758,19.04,78,83,1.34,GB,1722896182
370,rahuri,19.3833,74.65,24.12,86,92,4.72,IN,1722896053
371,emerald,-23.5333,148.1667,15.19,85,96,2.96,AU,1722896185
372,sinop,41.7711,34.8709,17.09,95,76,0.81,TR,1722896186
373,cauayan,9.9718,122.6249,25.71,85,100,3.16,PH,1722896187
374,mukdahan,16.5833,104.5,24.26,92,100,1.86,TH,1722896188
375,greytown,-29.0642,30.5928,7.86,90,59,0.65,ZA,1722896189
376,brigantine,39.4101,-74.3646,30.11,67,20,4.12,US,1722896190
377,mwinilunga,-11.7358,24.4293,16.53,25,1,1.96,ZM,1722896191
378,timbiqui,2.7717,-77.6654,25.43,90,100,2.38,CO,1722896192
379,namibe,-15.1961,12.1522,18.33,85,94,0.4,AO,1722896193
380,fort bragg,35.139,-79.006,29.0,78,100,3.09,US,1722896194
381,cill airne,52.05,-9.5167,10.73,94,22,2.25,IE,1722896195
382,paros,37.0833,25.15,29.06,54,0,2.57,GR,1722896196
383,castillos,-34.1667,-53.8333,13.5,92,100,5.44,UY,1722896197
384,palermo,37.8167,13.5833,22.63,89,34,0.5,IT,1722896081
385,bardai,11.65,7.2333,21.89,93,100,2.54,NG,1722896001
386,jinghong,21.991,100.7341,20.55,99,98,0.66,CN,1722896200
387,bouarfa,32.53,-1.95,30.35,13,65,3.16,MA,1722896202
388,kachia,9.8667,7.95,21.09,87,97,1.64,NG,1722896203
389,fale old settlement,-9.3852,-171.2468,27.82,76,100,5.02,TK,1722896204
390,st. john's,47.5649,-52.7093,21.75,94,75,7.2,CA,1722896118
391,luwuk,-0.9516,122.7875,21.65,93,98,1.68,ID,1722896206
392,shar'ya,58.3686,45.5144,13.92,98,82,1.39,RU,1722896207
393,nakhon phanom,17.3333,104.4167,26.82,93,98,1.26,TH,1722896208
394,taltal,-25.4,-70.4833,15.61,69,18,1.34,CL,1722895820
395,novyy urgal,51.0736,132.5642,19.63,94,100,1.79,RU,1722896210
396,nuku'alofa,-21.1333,-175.2,23.19,68,20,3.09,TO,1722896211
397,posse,-14.0931,-46.3694,25.05,38,32,6.15,BR,1722896212
398,uvira,-3.4067,29.1458,23.07,47,45,1.52,CD,1722896214
399,knyaze-volkonskoye,48.4642,135.4567,23.19,91,80,4.58,RU,1722895934
400,hailun,47.45,126.9333,22.48,93,99,1.67,CN,1722896216
401,korkuteli,37.065,30.1957,20.81,46,26,1.4,TR,1722896218
402,bairnsdale,-37.8333,147.6167,5.03,97,0,2.29,AU,1722896219
403,sao tome,0.3365,6.7273,23.53,83,91,5.32,ST,1722896220
404,alotau,-10.3069,150.4462,23.48,95,100,2.06,PG,1722896221
405,plastun,44.7561,136.2939,17.05,69,38,0.75,RU,1722896222
406,alzamay,55.5562,98.6644,13.73,92,62,1.18,RU,1722896223
407,yongning,24.68,118.69,27.42,84,5,3.2,CN,1722896224
408,pontianak,-0.0333,109.3333,23.99,100,20,0.0,ID,1722896225
409,sao joao da barra,-21.6403,-41.0511,23.05,83,0,8.21,BR,1722896226
410,loch garman,52.3342,-6.4575,15.12,100,100,3.58,IE,1722896190
411,kilindoni,-7.9139,39.6668,24.69,74,1,6.37,TZ,1722896229
412,east london,-33.0153,27.9116,13.92,52,0,2.5,ZA,1722896230
413,mugumu,-1.85,34.7,18.31,70,57,1.27,TZ,1722896231
414,mutuali,-14.8706,37.0044,19.07,36,1,1.28,MZ,1722896233
415,shar,49.5886,81.0453,20.36,51,9,2.22,KZ,1722896234
416,cachoeiras de macacu,-22.4625,-42.6531,20.08,65,73,1.87,BR,1722895936
417,unai,-16.3575,-46.9061,23.55,38,1,1.33,BR,1722896237
418,kievka,50.2619,71.5514,21.55,49,88,1.92,KZ,1722896238
419,kupang,-10.1667,123.5833,25.32,83,20,4.12,ID,1722896239
420,antalaha,-14.9003,50.2788,18.76,90,55,2.7,MG,1722896209
421,aral,40.5156,81.2636,27.7,33,97,2.07,CN,1722896241
422,aldan,58.6031,125.3894,10.17,98,100,1.71,RU,1722896242
423,choszczno,53.169,15.4205,13.21,83,12,1.39,PL,1722896243
424,rio preto da eva,-2.6994,-59.6997,30.18,37,49,1.53,BR,1722896245
425,gadzhiyevo,69.2551,33.3362,8.43,78,2,1.64,RU,1722896246
426,tromso,69.6496,18.957,16.01,72,0,1.03,NO,1722896088
427,millerovo,48.9226,40.3967,19.44,81,59,0.45,RU,1722896248
428,geraldton,-28.7667,114.6,8.23,93,0,6.17,AU,1722896249
429,buka,40.8108,69.1986,21.58,30,1,2.64,UZ,1722896250
430,ruston,32.5232,-92.6379,35.33,46,7,1.85,US,1722896251
431,ugoofaaru,5.6667,73.0,27.87,75,100,2.12,MV,1722896252
432,hasaki,35.7333,140.8333,28.22,83,2,4.04,JP,1722896253
433,gryazi,52.4966,39.9359,20.47,56,100,2.76,RU,1722896254
434,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1722896255
435,sinabang,2.4803,96.3801,25.81,80,100,0.75,ID,1722896256
436,at taj,24.2049,23.2857,30.1,18,1,4.53,LY,1722896257
437,touba,8.2833,-7.6833,21.35,97,29,1.63,CI,1722896258
438,fayroz koh,34.5195,65.2509,13.98,37,0,0.54,AF,1722896259
439,cottonwood,34.7392,-112.0099,39.48,20,50,2.24,US,1722896260
440,taoudenni,22.6783,-3.9836,41.71,11,46,3.86,ML,1722896261
441,ianca,45.1333,27.45,21.12,56,53,3.48,RO,1722896262
442,ghadamis,30.1337,9.5007,29.94,43,0,7.97,LY,1722896264
443,tot'ma,59.9747,42.7642,13.48,99,57,2.17,RU,1722896265
444,saynshand,44.8824,110.1163,22.78,35,16,3.85,MN,1722896266
445,luderitz,-26.6481,15.1594,13.38,59,0,5.64,NA,1722896267
446,tazovsky,67.4667,78.7,5.26,80,70,4.96,RU,1722896268
447,qulsary,46.9531,54.0198,28.76,31,4,3.0,KZ,1722896107
448,swakopmund,-22.6833,14.5333,11.66,84,0,2.59,NA,1722896270
449,westport,41.1415,-73.3579,30.25,64,0,5.66,US,1722895976
450,mamuju,-2.6748,118.8885,25.03,87,61,1.98,ID,1722896272
451,tionk essil,12.7856,-16.5217,26.98,92,100,4.88,SN,1722896273
452,laguna,38.421,-121.4238,38.63,24,0,3.6,US,1722896274
453,matoury,4.8483,-52.3317,28.98,74,0,3.09,GF,1722896275
454,okhotsk,59.3833,143.3,12.03,88,100,8.82,RU,1722896276
455,hammerfest,70.6634,23.6821,16.81,57,8,3.78,NO,1722896277
456,nova xavantina,-14.6667,-52.35,25.37,28,0,1.22,BR,1722896278
457,dellys,36.9172,3.9131,25.73,58,0,3.89,DZ,1722896279
458,kyren,51.6828,102.1408,14.05,94,98,0.79,RU,1722896281
459,yanliang,34.6592,109.2292,25.55,76,0,1.89,CN,1722896282
460,ruy barbosa,-12.2839,-40.4939,22.05,57,29,4.61,BR,1722896283
461,montagu,-40.7667,144.9667,11.41,79,65,6.61,AU,1722896284
462,tibati,6.4667,12.6333,19.71,96,100,1.14,CM,1722896285
463,tarawa,1.419,172.984,29.27,64,91,4.94,KI,1722896286
464,tomatlan,19.9333,-105.25,30.78,73,78,2.09,MX,1722896288
465,carutapera,-1.195,-46.02,26.07,79,29,3.71,BR,1722896290
466,callao,-12.0667,-77.15,20.23,83,74,6.3,PE,1722895808
467,acarau,-2.8856,-40.12,25.42,76,99,7.99,BR,1722896292
468,lindisfarne,-42.8333,147.35,11.23,72,75,3.6,AU,1722896293
469,ostersund,63.1792,14.6357,17.25,82,75,3.09,SE,1722896294
470,little falls,40.869,-74.2082,32.04,57,0,5.14,US,1722896295
471,elliot lake,46.3834,-82.6331,22.83,32,99,2.7,CA,1722895865
472,oak grove,45.4168,-122.6401,31.92,36,0,1.79,US,1722896297
473,hobyo,5.3505,48.5268,24.23,86,58,11.31,SO,1722896193
474,kupiskis,55.8333,24.9667,14.01,90,54,2.86,LT,1722896299
475,luena,-11.7833,19.9167,15.94,23,1,1.45,AO,1722896300
476,kasongo-lunda,-6.4667,16.8167,27.21,38,75,1.42,CD,1722896010
477,nishinoomote,30.7333,131.0,28.54,77,19,3.57,JP,1722896302
478,kattivakkam,13.2167,80.3167,27.2,89,100,3.37,IN,1722896303
479,kudymkar,59.0173,54.656,13.67,97,66,1.54,RU,1722896304
480,xinmin,41.9908,122.8253,22.64,95,3,1.53,CN,1722896305
481,luorong,24.4058,109.6086,25.9,90,79,0.95,CN,1722896306
482,tobelo,1.7284,128.0095,26.28,86,100,1.6,ID,1722896308
483,amungan,15.3652,119.9582,26.84,82,92,3.13,PH,1722896309
484,weno,7.4515,151.8468,28.97,84,75,2.06,FM,1722896310
485,hilo,19.7297,-155.09,29.41,75,0,2.57,US,1722896311
486,alavus,62.5833,23.6167,14.27,69,86,0.83,FI,1722896312
487,la foa,-21.7108,165.8276,18.94,60,0,0.23,NC,1722896313
488,tadine,-21.55,167.8833,20.78,57,3,6.06,NC,1722896314
489,tarrafal de sao nicolau,16.5667,-24.3667,25.5,86,96,2.8,CV,1722896315
490,ayacucho,-13.1583,-74.2239,19.92,26,75,8.75,PE,1722896062
491,zheleznogorsk-ilimskiy,56.5768,104.1217,12.12,77,5,0.68,RU,1722896317
492,karratha,-20.7377,116.8463,16.5,44,52,4.56,AU,1722896318
493,doume,4.2333,13.45,21.27,85,100,1.84,CM,1722896319
494,saposoa,-6.934,-76.7716,29.64,57,92,1.26,PE,1722896320
495,athens,37.9795,23.7162,29.26,57,0,1.54,GR,1722896195
496,taksimo,56.3444,114.8794,16.43,80,98,1.07,RU,1722896322
497,moab,38.5733,-109.5498,39.16,15,18,3.45,US,1722896323
498,jinchang,38.4953,102.1739,25.11,33,80,9.36,CN,1722896324
499,annau,37.8876,58.516,28.72,28,0,4.12,TM,1722896326
500,waddan,29.1614,16.139,32.57,16,0,6.57,LY,1722896327
501,wamba,8.9333,8.6,22.7,88,100,1.19,NG,1722896328
502,khandyga,62.6667,135.6,11.66,92,100,3.36,RU,1722896329
503,padang,-0.9492,100.3543,25.03,88,48,2.34,ID,1722896330
504,strezhevoy,60.7333,77.5889,13.71,97,100,3.02,RU,1722896290
505,pau brasil,-15.4642,-39.6511,18.32,88,4,1.52,BR,1722896332
506,lycksele,64.5954,18.6735,12.93,100,75,0.0,SE,1722896333
507,pangody,65.85,74.4859,7.77,72,39,5.25,RU,1722896334
508,nowy dwor gdanski,54.2131,19.1177,14.87,91,2,2.6,PL,1722896335
509,kruisfontein,-34.0033,24.7314,7.16,56,0,2.49,ZA,1722896336
510,minas de marcona,-15.2119,-75.1103,13.11,71,0,7.1,PE,1722896338
511,novoishimskiy,53.1981,66.7694,16.88,82,63,3.17,KZ,1722896339
512,ranau,5.9538,116.6641,20.56,95,94,0.29,MY,1722896341
513,tuzha,57.6062,47.936,14.65,94,59,1.19,RU,1722896342
514,nuuk,64.1835,-51.7216,10.34,76,100,1.03,GL,1722896343
515,hinton,53.4001,-117.5857,11.58,96,100,1.77,CA,1722896344
516,kristiansund,63.1115,7.732,17.03,96,20,2.57,NO,1722896345
517,benjamin hill,30.1667,-111.1,36.78,29,20,4.92,MX,1722896346
518,cabedelo,-6.9811,-34.8339,23.37,78,10,5.86,BR,1722896347
519,mastung,29.7994,66.845,24.3,72,100,1.59,PK,1722896348
520,broken hill,-31.95,141.4333,5.5,90,0,1.73,AU,1722896349
521,nurota,40.5614,65.6886,23.87,23,0,2.85,UZ,1722896350
522,rufino,-34.2683,-62.7126,15.37,72,0,3.96,AR,1722896351
523,skadovs'k,46.1161,32.9112,23.08,62,100,4.03,UA,1722896352
524,tandil,-37.3217,-59.1332,13.71,80,100,6.01,AR,1722896323
525,corner brook,48.9667,-57.9484,24.09,76,42,1.42,CA,1722896339
526,namasuba,0.6894,32.4214,17.7,63,55,1.22,UG,1722896355
527,sinan,34.8262,126.1086,26.06,87,3,2.84,KR,1722896356
528,tamiahua,21.2667,-97.45,29.96,67,4,3.47,MX,1722896358
529,levuka,50.1834,-105.4011,22.85,43,75,7.2,CA,1722896359
530,anloga,5.7947,0.8973,24.43,84,79,6.66,GH,1722896360
531,kill devil hills,36.0307,-75.676,28.01,89,100,8.75,US,1722896361
532,bela,25.9333,81.9833,30.11,68,100,2.39,IN,1722896362
533,moussoro,13.6408,16.4901,24.39,85,99,2.46,TD,1722896363
534,am timan,11.0297,20.2827,22.23,93,86,1.87,TD,1722896364
535,extrema,-22.8547,-46.3183,20.9,44,43,2.68,BR,1722896365
536,beni,0.5,29.4667,16.72,98,44,0.57,CD,1722896366
537,constitucion,-35.3333,-72.4167,9.97,81,90,2.67,CL,1722896367
538,dickinson,29.4608,-95.0513,35.65,55,40,3.09,US,1722896226
539,langxiang,46.95,128.8833,22.84,96,100,1.13,CN,1722896369
540,correntina,-13.3433,-44.6367,23.32,48,17,2.92,BR,1722896370
541,zilair,52.2332,57.4392,18.18,81,100,1.01,RU,1722896371
542,tulun,54.5611,100.5792,12.45,88,19,1.47,RU,1722896372
543,vorkuta,67.5,64.0,5.16,76,8,1.9,RU,1722896373
544,la ronge,55.1001,-105.2842,21.14,40,75,2.57,CA,1722896375
